Gene1,Gene2,Score
DNAJC1,DTX2,0.6607492189739039
DNAJC1,CTNNBIP1,0.6607408314712119
ZNF143,DDIT4,0.6606656232638415
HOPX,LAYN,0.6606471396174818
AHCTF1,AC005082.12,0.6606223769022825
LYAR,RP11-426A6.5,0.6605939126780657
HOPX,PLK4,0.6605259834609235
E2F5,ARPP19,0.6604444434718925
MYBL1,KDM2A,0.6599627306985891
FOS,RP11-188D8.1,0.6596285661501942
BATF,HLA-B,0.6593002246831627
FOS,VMA21,0.6592433461451599
JUNB,DUS4L,0.6588809215278288
RORB,BAZ2A,0.6582836668436736
BATF,PLA2G16,0.6582088249790375
RORB,LINC00221,0.6581550318065619
BBX,ITIH4,0.6579821776812688
DACH1,RGS2,0.6578185852331834
ID2,POLB,0.6577536753208537
KLF6,B3GALNT2,0.6576450116347199
ID2,C1GALT1,0.6576343842818794
JUN,TMED5,0.6576080465025541
JUNB,LATS2,0.6574322537165843
ZNF491,RP11-434B12.1,0.6573313033981054
JUN,RP5-850O15.4,0.6571566445543541
PKNOX1,KLF6,0.6565931764210591
LYAR,AC090186.1,0.656576479059574
CEBPD,TIGD2,0.6562269328418909
JUN,CTD-2090I13.1,0.6561457647773097
ZNF491,TTC32,0.6559362081803035
LEF1,AIF1,0.6556924086874484
PLEK,MYO1F,0.6556306305150393
BBX,CENPA,0.6556248721729616
ATF6,CASZ1,0.6554541617514048
ZSCAN29,FCRL6,0.655168541015697
ID2,GHRLOS,0.6549508947978766
ZBTB38,DUSP12,0.6547507811495623
ARID5B,ZNF576,0.6546360562266024
RUNX3,CCL4,0.654620127055836
DNAJC1,CCL3,0.6544384798420968
ZNF576,SUPT4H1,0.6543169805745231
BBX,C6orf120,0.6542844605477306
JUNB,XCL1,0.6541477338569751
JUNB,GOLGA6L4,0.6540651487263112
YEATS4,VEZT,0.6539414032088451
HOPX,NIPAL2,0.6538853123866373
ZNF737,PSMA8,0.6536720395344583
ID2,VMA21,0.6536507385027435
BBX,LURAP1,0.6531493984509773
LYAR,LINC00221,0.6530602689655821
BBX,MICALL1,0.6529647508416202
MAFG,STRIP2,0.6527871789737875
KLF6,RP11-15B17.1,0.6527645166422003
LEF1,RP11-269M20.3,0.6525901757927042
BBX,RNF166,0.6525815729562267
LYAR,CLK3,0.6522424995436167
ZNF491,NXPH4,0.6522212237600357
PLEK,KLRD1,0.6522076199833239
HOPX,RP11-421M1.8,0.6518844320282343
ZNF491,SPRED1,0.6518027227504506
ZNF143,TTC26,0.6515662258225275
PURA,DNAJC1,0.6514624251333714
FOS,GABPA,0.6510584975056872
ZNF277,CLIC3,0.6510452940464805
CASZ1,APLP2,0.650528570902714
FOS,ID3,0.6504967173208748
JUNB,DDIT4,0.6503265146985369
JUN,RP11-469N6.1,0.6503184335359944
JUNB,MVB12B,0.6503072309598524
JUNB,FUT11,0.65015056077077
CEBPD,MPST,0.6499458650106397
JUNB,PIGW,0.6498678812419225
SNAI3,WDR27,0.6497136322794284
JUN,ZNF501,0.6495717053883363
JUN,RCE1,0.6495427434532709
ZNF684,SOAT1,0.6494751648577118
JUNB,PTPN7,0.649225747070759
BBX,RP5-991G20.4,0.6488905473581408
SNAI3,AIF1,0.6485765736760519
LYAR,CCDC122,0.6484669687339428
LYAR,LRIF1,0.6482843228452242
DNAJC1,AHCTF1,0.6482170133255707
ZBTB38,HLA-DPA1,0.6480901326317732
ID3,HIVEP3,0.6480590116963025
CASZ1,DNAJC1,0.6475244195379205
LYAR,SPR,0.647460637038761
JUN,FAM20B,0.6473468537152556
ZNF320,S100B,0.6458633810360535
JUNB,DUSP2,0.645842416314668
ID2,ERCC6,0.64583844941653
ASCL2,C12orf75,0.6457795394950014
SNAI3,ZNF277,0.645493067830103
ZNF320,ALOX5,0.6454846273350828
ZNF683,TCF12,0.6454477684406342
DNAJC1,ISG15,0.645394277053892
ZNF143,BATF,0.6452234338904735
HOPX,RP5-991G20.4,0.6450731930987738
HOPX,DUSP1,0.6450502154193707
MTA1,MAFG,0.6449335140329203
LYAR,APMAP,0.6448264441535975
FOS,TMEM155,0.6447460551118444
LYAR,MICALL1,0.6446807798012496
JUN,PINLYP,0.644422848990091
JUN,ZBTB34,0.6442899890705969
HOPX,MYO1F,0.6442330274656389
ID2,MRPS26,0.6441918986921481
SOX13,RWDD2B,0.6440197669670819
ZNF277,ZNF80,0.6439771224825972
LYAR,CCSER2,0.6438796260103427
LYAR,PTGER2,0.6435987233995399
YEATS4,MDM1,0.6435854946835083
YEATS4,FSD1L,0.6434115373470137
ZNF491,RP11-428G5.5,0.6434074277622663
POU5F2,CD8B,0.643361308028788
ZNF683,KLRF1,0.6433289181312379
ID2,TPP1,0.6432214191517301
LYAR,RP11-77I22.2,0.6431613410067714
FOS,TIGD4,0.642630738437572
KLF6,GABPA,0.6425286863298298
LEF1,RPS6KA3,0.6423034708003104
ZNF683,ERGIC1,0.6422718653080028
HIVEP3,LST1,0.6422526545705096
JUNB,CTB-118N6.3,0.6421089876205831
TBX1,CD8A,0.6420530141832536
ZNF491,HDAC9,0.6419204648578625
ZNF41,CD8A,0.641736058828582
ZNF491,KIT,0.6412491752035901
MLXIP,TATDN2,0.6412025721892617
HOPX,RP11-49C24.1,0.6409883551396048
HOPX,BOD1L1,0.6409415195810371
LYAR,CD8A,0.640692950195077
ID2,AVPI1,0.6402457045815956
ZSCAN2,GP9,0.6400314905998478
ID2,NUP155,0.6397510345593723
HOPX,S100B,0.6396312169223943
ZNF234,FRY-AS1,0.6395621695984663
HOPX,GCK,0.6395258818364893
JUN,FCGR3A,0.6392192064869437
MLXIP,TMCO3,0.6392039445299421
ID2,MLLT4,0.6391400202185067
ATF6,LST1,0.6388474690988222
NR4A1,ARV1,0.6386793013956257
DNAJC1,FLNA,0.6385445291402932
JUNB,RGS2,0.6376130976590237
ZNF491,RP11-421M1.8,0.6374427522968572
BATF,KLF6,0.6373443655712758
KLF6,PIGU,0.6366862419061061
CEBPD,ALOX12B,0.6365022503573128
ZNF41,EXOC6B,0.6364420077141721
BBX,PSMD10,0.6363352876372741
ID3,AC092295.7,0.6356051564556898
MTA1,FCGR3A,0.6352853403429399
JUN,RP11-983P16.4,0.6352761681501116
LYAR,RP4-794H19.4,0.6350441026189896
LEF1,ZNF330,0.6349587642634019
CEBPD,ATF6,0.6348924383087519
RUNX3,PDZD2,0.6348484910042771
ASCL2,HLA-DRA,0.6348217955721464
HOPX,C1QTNF4,0.6347234873533658
HOPX,PSPH,0.6346857261857998
ASCL2,MLLT6,0.6342500890781959
FOXK1,CDKN2B-AS1,0.6342437757602988
ID2,CLK3,0.6341378326137819
JUN,SF3B14,0.6341162428688435
YEATS4,INTS9,0.6339573430430635
MYBL1,PDCD7,0.6339099939019069
LYAR,FAM57A,0.6332886441465888
PURA,ARHGAP10,0.6331791947125676
BBX,BOD1,0.6331726268749388
FOS,CPNE2,0.6330288248046221
PLEK,MYBL1,0.6323333738662016
ZNF683,CD74,0.6322398550363378
JUN,UBE2Q2L,0.6322053545659015
ZNF576,TPST2,0.6318962040156929
ZFHX3,SNAI3,0.631792558773532
FOS,CITED2,0.6317686637904484
LEF1,YKT6,0.6317009053803004
LYAR,GZMB,0.6314750338173997
LYAR,MYBL1,0.6310724044014748
ZSCAN29,VPS26B,0.6310097909425004
KLF6,MT-ND2,0.6305035513198227
LEF1,ERGIC1,0.6302981145752213
BBX,AC097721.2,0.6302547482257524
ZNF277,GLIPR1,0.6299755899181033
MYBL1,AC137932.1,0.6299559524305461
LEF1,ACSM1,0.6299146421241621
CEBPD,PKN3,0.6296876127914666
JUNB,RGL3,0.6293523225814623
BAZ2A,PPP2R5C,0.6291978101917164
ID2,MRPL9,0.6290832328207863
RUNX3,CENPC,0.6286146252328982
ID2,TAF13,0.628613404056984
LYAR,STS,0.6284278633102958
HOPX,OXCT2,0.6281598017729421
FOS,BEND4,0.6278167051419403
HOPX,RP11-110I1.14,0.6277619375366973
ARID5B,WDHD1,0.6277513219430957
DNAJC1,LA16c-313D11.9,0.6275422082787805
HOXA10,BATF,0.6274228131029085
CEBPD,ZNF710,0.6270865625375603
RUNX3,AVPI1,0.6270687441517374
GABPA,NUP155,0.6268182699320862
JUNB,MTRNR2L8,0.6265510321964463
YEATS4,PIGU,0.6262317257662777
ZNF491,OXCT2,0.6262190158390699
JUN,AC016757.3,0.6261826465918621
LEF1,GZMK,0.6261230541703345
BBX,RP4-622L5.7,0.6259307180230876
FOS,RP11-574K11.29,0.6259306898845634
ZNF562,EPHB6,0.6258594829627406
HOPX,PDRG1,0.6258134251430542
BATF,RP11-78O7.2,0.6253037446775391
ZBTB38,LRRC28,0.6252284936545958
LYAR,HERPUD1,0.6250268160672251
JUN,SGCB,0.6249844054892962
LYAR,OXCT2,0.6249642952406718
FOS,ARL6IP6,0.6248397081584468
ZNF264,SMYD2,0.6247459583749508
CEBPD,SPPL2A,0.6245903565963273
LYAR,NIFK-AS1,0.6244885880306589
YEATS4,AC005253.2,0.6243147101277712
MYSM1,LIG3,0.6239548044243985
DNAJC1,STXBP5,0.623883600550432
JUN,GABPA,0.6236406877530415
LEF1,ZNF618,0.6233436640481191
FOS,UBXN6,0.622957219587103
LEF1,ABL2,0.6229392809279642
KLF6,TPST2,0.6224359348592374
BATF,OASL,0.6223709254122913
AHCTF1,DDX54,0.6221768382743829
ZNF491,AC009312.1,0.6217443251608689
PPARG,NUP153,0.621654197825484
ZBTB38,LRIF1,0.6216169032903018
HOPX,RP11-388P9.2,0.6215457961488807
JUNB,C1orf222,0.621531461019389
SOX13,FOXN2,0.6215272483933499
NR4A1,SF3B14,0.6214249692237317
ID2,CRIP2,0.6213546980527067
CEBPD,VPS26B,0.6212615440922091
ZNF683,NFKBIA,0.6209439792643255
HOPX,FBXO30,0.6209309937738222
YEATS4,SCUBE1,0.6208930347325017
ZNF491,LINC00610,0.6206382705644602
ID3,UTP23,0.6206053890870789
MAFG,DUSP5,0.6205696283739385
JUNB,TIGD2,0.6201960900150054
CEBPD,RNU11,0.6200631470914656
JUNB,C1orf21,0.6197606708817534
LEF1,HLA-DPB1,0.6196920207967757
ZNF320,TLK1,0.6196505773130232
FOS,RP11-259N19.1,0.6195928301653415
MLXIP,ZNF155,0.6195687760675804
ZNF143,TTC39C,0.6193790216428903
ARID2,ASCL2,0.6193145412672431
JUN,LBX2-AS1,0.6190335772754068
ZNF491,RP11-905K4.1,0.619011186420636
ZNF234,RP11-227D13.4,0.6189798495968214
BAZ2A,RP11-227D13.4,0.6188887193679675
LEF1,RP11-196G18.24,0.618545125206695
PLEK,NFKBIA,0.6185195523430601
LYAR,ALDH4A1,0.618335209292403
ID2,PDCD7,0.6182506379870807
ZNF491,PCF11,0.6181099139918729
MLXIP,GLIPR1,0.6180820766888089
KLF6,HIST1H1D,0.6180317661508254
DNAJC1,DUSP5,0.6180316859047611
ZBTB38,BRD2,0.6179944099794789
FOS,SMYD2,0.6179187066782613
ZNF264,HENMT1,0.6179005801519615
ZNF320,ST8SIA1,0.6177853207163296
LYAR,RSBN1L,0.6177500129848947
ZNF277,VPS26B,0.6175809017953574
MYBL1,RNASEH2C,0.6173803345969354
ID2,DNAJC1,0.6171914801412213
SNAI3,TIMP2,0.6171455005884311
HOPX,WDR91,0.6171310024478041
LEF1,CD8B,0.6170037120787661
KLF6,PTGDS,0.6169453998988268
RUNX3,RPF2,0.6168474140215008
ZNF501,PRSS23,0.6168349509754294
KLF6,LINC00657,0.616793875284229
ZNF41,DUSP1,0.6165148221159938
DNAJC1,MAP10,0.6165099330091048
FOS,CALHM2,0.6164749438244034
HOPX,AC016757.3,0.6163138012415746
DNAJC1,COL6A2,0.6161318137920165
RUNX3,DYRK3,0.6161239963090572
JUNB,CD160,0.6161122753730809
ID2,MAST2,0.615830325492861
MAFB,HAGH,0.6157033318764565
KLF6,RP4-593H12.1,0.6157006753025566
ID2,C1orf222,0.61560131454511
YEATS4,PPARG,0.6154131429648624
ZNF470,ATP6V1D,0.6145380800107119
LEF1,PGRMC2,0.6145265179821738
PPARG,TMED5,0.6141967369782334
AHCTF1,NADK2,0.6141694504306454
BAZ2A,AC137932.1,0.6141572971532574
CEBPD,RP11-574K11.29,0.6140496807184257
LYAR,MLLT4,0.6137714421197329
ZNF233,RSRC2,0.6136864987491863
LEF1,DNA2,0.6134338861673241
JUNB,UCN,0.6132148265621318
BATF,LINC00884,0.613109280322905
JUN,INPP4B,0.613066877914716
RUNX3,TTC39C,0.6130035174789478
ID2,AC068282.3,0.6129497573806336
ATF6,ARID5B,0.6127148619127941
ZNF683,GIGYF2,0.6126532509114738
KLF6,MPND,0.6124073283084308
HOPX,ARL6IP6,0.6123386678505884
ZNF143,FLNA,0.6122898813624077
FOS,AIF1,0.6122466026370429
HOPX,PAK4,0.6119134236681585
BAZ2A,C1GALT1,0.6118671405104232
RUNX3,UNK,0.6117508650960936
ZNF683,SF3B14,0.6116152915720636
LYAR,AC007163.6,0.6113568964544006
ARID5B,PLEKHA3,0.6113227196549424
BBX,CR2,0.6112749298702096
ZNF142,RP11-46A10.4,0.6108748413128756
JUN,POLB,0.6108419426358077
FOS,TMPRSS6,0.6107763092768934
ID2,SYNE2,0.6107384972762548
JUN,PDRG1,0.6106795715728826
TBX6,RP11-400L8.2,0.6106418264749127
LYAR,ASCL2,0.6104141249193643
LYAR,FAM20B,0.6103694388217816
E2F5,PLEK,0.6102916242800265
ARID2,LUZP1,0.610062471267595
FOS,TRIM74,0.6095027678609087
ZNF277,WDR27,0.609053307476381
ZNF618,CCL4,0.6090200688808413
KLF6,LINC00384,0.6090002676640025
LYAR,MIR155HG,0.6089229872589765
ZNF142,SOCS4,0.6088483484370254
MYBL1,APOBEC3G,0.6087450887725018
LYAR,PPP2R5C,0.6084934380443271
MAFG,AP000442.1,0.6083868093773945
HOPX,ARNT,0.6074837118656257
HOPX,TPD52L1,0.6074599646665808
JUNB,RP11-567J20.3,0.6073299053254098
ZNF684,TSTD3,0.6070918647544683
HMGB3,ARL10,0.6070084327180797
FOS,NEURL2,0.6070061767167318
JUN,ERGIC1,0.6070018888844201
ATF6,PHF20,0.6067929884859354
ZNF491,C9orf117,0.6066595590956853
HOPX,MRPS11,0.6066087702488723
JUN,LIG3,0.6065850800472545
JUN,C8orf88,0.6065548388169321
SNAI3,PRKAR2A,0.606296922994327
HOPX,IQCD,0.6062250938070601
RUNX3,TRIM38,0.6060898065769545
FOS,STRIP2,0.6060470727654738
CEBPD,BBX,0.6059868862077763
FOS,PKD2,0.6058710399896748
JUNB,HOXA10,0.605641140005249
JUN,PTPN7,0.605480205506345
BBX,ACSM1,0.6051085166128108
BATF,RP11-291B21.2,0.6049433729288342
SNAI3,RP1-43E13.2,0.6049183189424662
ZNF773,PRSS35,0.604870419678232
FOS,HOPX,0.6046337412959305
ID2,AC016757.3,0.604564414305905
JUN,GGA1,0.6042884878531581
ZNF143,GALNT7,0.6042401438438192
ARID5B,DHX36,0.6039823899511276
FOS,PCAT1,0.6039477408741566
MYBL1,DUSP2,0.6036015710752896
YEATS4,RP11-755B10.2,0.6034828051044068
ZNF491,ARL6,0.6029703994934479
SOX13,CCDC88B,0.60257331609677
KLF6,NIFK-AS1,0.6024953477793084
FOS,RP4-593H12.1,0.6023468387264325
HOPX,LIPC,0.6022000908912986
HOPX,HIST1H1C,0.6021473353580782
ZNF143,SLU7,0.601918804372547
LYAR,IL15,0.6014618014608255
LYAR,RP11-488L18.8,0.6014249380408422
RORB,SIGLEC12,0.6011734878264166
FOS,LINC00894,0.6010902114160039
ZNF684,LRRC28,0.601062837703897
ID2,TMEM52,0.6010567833252419
JUNB,ELAVL4,0.6009860336337938
LYAR,RETSAT,0.6008948169266017
BATF,DUSP12,0.6004420003425688
LEF1,DCAF4L1,0.6003585433015524
FOS,METTL25,0.5999564071872665
LEF1,NIFK-AS1,0.5993570042028643
PKNOX1,SMYD2,0.5989157953887111
JUN,NOA1,0.5987493204825082
JUN,LACE1,0.5986991480453479
JUNB,EXOG,0.5985410496078056
TP63,RETSAT,0.598480021318912
RUNX3,ZNF155,0.5983147948975676
HOPX,SYTL3,0.5983057054373078
LYAR,RP11-449P15.2,0.5979671144720365
ID2,KRT1,0.5977678840302237
PURA,RP11-291B21.2,0.5977004660452029
RORB,ZNF185,0.5974867402330406
MYBL1,VPRBP,0.597367064789605
MAFG,RP11-434B12.1,0.5973393179102966
MLXIP,CD79B,0.5973368038003157
JUN,COQ7,0.5970071509249834
ZNF710,LACE1,0.596979341827108
ID2,PTMS,0.5967234580328262
GABPA,PKNOX1,0.5966904258889739
ZNF547,UPF1,0.596571555119424
KLF6,LRIF1,0.5965372317014841
LYAR,PKNOX1,0.5965192377183237
HOPX,MDM1,0.5964465907106669
POU5F2,PTGER2,0.5962516463626619
PLEK,TPST2,0.5962461083424915
PURA,ADAM28,0.5962428872720117
ZNF143,ULK1,0.5960122797326365
PLEK,PLCL2,0.595953018421582
ATF6,YEATS4,0.5959457567437297
FOS,RP11-227D13.4,0.5959221378504833
MTA1,YOD1,0.5958512355461292
FOXN2,GPATCH2,0.5957289967335384
DNAJC1,HEXA,0.5956598557638494
ZNF491,TIGD2,0.5956318931996014
RUNX3,CAAP1,0.5955788611164259
AHCTF1,MYO1F,0.595578736192099
ZNF491,NOL3,0.5954946015343408
ZNF277,RP11-779O18.3,0.5954845120020658
LYAR,LINC00384,0.5953718874863552
HIVEP3,MRPS11,0.5953445258176642
ZNF618,USP16,0.5942506546377223
ZNF41,ZNF684,0.5936279484794726
BATF,CCDC71L,0.5935754522282143
KLF6,CHI3L2,0.5935249976998604
HOPX,CCDC88B,0.5935059477445356
CEBPD,MROH1,0.5932083722683233
CEBPD,RNASEH2A,0.5931419394049644
LYAR,EMC8,0.5927815499062075
KLF6,MSI2,0.5925854164318335
TCF12,FICD,0.5925814051723499
BATF,MVB12B,0.5923220995761092
PLEK,DECR2,0.5922339085594742
BBX,AC093609.1,0.592148823914081
JUNB,FCER1G,0.5919580480379122
CEBPD,ISG15,0.5917031143571078
FOS,AC004067.5,0.5916005289281766
RORB,CTD-2090I13.1,0.5913253864331286
LEF1,JUN,0.5912340563173699
LEF1,EPHB6,0.5908295911733261
JUN,GMPR,0.590788000863749
LYAR,CHI3L2,0.5907548748719533
PLEK,RP11-169K17.3,0.5904598094156492
DNAJC1,ZNF330,0.5902499393049119
TCF12,ATP13A3,0.5900735048726857
JUNB,VSIG4,0.5900562701507637
FOSB,PURA,0.5900357391482908
LYAR,AC004158.2,0.5898032820435031
ZBTB38,MARCKS,0.5894063277519324
ZNF491,RP11-460I13.2,0.5892218257018063
KLF6,MTA1,0.5891607097439234
FOS,CABIN1,0.5891214547912277
PPARG,PRSS36,0.5887012772112222
JUN,PLEKHA3,0.5881921774727437
LYAR,CTD-2165H16.4,0.5881052628472472
YEATS4,ZBTB34,0.5878345255437534
FOSB,IER2,0.5878182775431834
LYAR,C7orf49,0.5875833994177847
FOS,MLXIP,0.5874017751165481
ASCL2,RPL34,0.587378737155522
LYAR,RP11-816J6.3,0.5873488232633339
LYAR,ELAVL4,0.5872243961721351
MAFG,ELAVL4,0.5871398228811423
JUNB,IGF2BP3,0.5869870013151515
RUNX3,APOBEC3C,0.5866177495901714
ZNF501,GOLM1,0.585980235702912
TCF12,RGS1,0.5859010871340015
JUN,PTMS,0.5856286058650153
FOS,PSMA8,0.5855829079672904
CEBPD,CD46,0.5851974512742975
FOS,RAB27A,0.585043642940442
KLF6,WDR90,0.5850098477468191
BAZ2A,PARP1,0.5849047358512351
KLF6,PTMS,0.5847995333695499
ID2,TREML1,0.5847880532320017
ID2,EFCAB7,0.5845574016964118
PKNOX1,CYTL1,0.5840017600621968
FOS,CYP17A1-AS1,0.5838854724657827
BBX,CHM,0.5834964541147927
LEF1,ZSCAN31,0.5827751953296476
JUNB,PARS2,0.5825850884451337
KLF6,MLLT6,0.5824929882972721
ZNF470,ATP13A3,0.5824638559656731
ZNF41,GLIPR1,0.58246314675127
CEBPD,HLA-B,0.5822420727558815
CEBPD,B3GALNT2,0.5820464614975195
FOSB,GALNT6,0.5818335467691202
LEF1,BRD2,0.5818258622583508
ARID5B,ATP6V1D,0.5816652546064134
TP63,C19orf40,0.5815815725172279
JUNB,ALS2CR12,0.5814169291018592
ZFHX2,CTSA,0.5813898852046214
LEF1,DTX3L,0.581132045141838
MAFG,LURAP1,0.581065300407842
MTA1,NR4A1,0.5809667916252457
PKNOX1,THAP6,0.5807853380973085
ZNF491,SPR,0.5806844839433205
ZBTB38,AKAP13,0.5806222891198471
ZNF773,TIMM21,0.5805765240149005
SIM1,VPS41,0.5802034296943671
JUN,DHRS4-AS1,0.5801851407095189
WDHD1,SCML2,0.5800468160808864
ZBTB34,DTX3L,0.5799052284402885
FOSB,AP001372.2,0.5797478510467368
FOS,LINC00989,0.5795275416372447
HOPX,KRT1,0.579507628701225
HOPX,BATF,0.5793659367568369
ARNT,TGS1,0.5791744865719883
ZNF683,DYM,0.5790413004154736
MIXL1,CEBPD,0.5790118417528864
ARID5B,RP11-327F22.2,0.578863327582158
ZNF576,AC093609.1,0.5788133464979734
RUNX3,MTERFD2,0.5787549542970394
ZNF491,RP11-203M5.8,0.5787023664587293
PURA,MAFG,0.5786193187661408
LYAR,KLRB1,0.5784729643299565
ARID5B,KRT1,0.5778215118814788
ZNF491,MPND,0.5776721003645083
HOPX,RP11-58E21.4,0.5775019962500058
ZNF576,TIMP2,0.5767087298352994
KLF6,RP11-574K11.29,0.5767084601999865
DNAJC1,GZMH,0.5764026986175446
ZNF683,LARP4,0.5762586944350092
MLXIP,AC005253.2,0.5759900282016662
LEF1,STMN1,0.5759628293703856
POU5F2,HLA-DQB1,0.5756146695071146
BATF,SF3B14,0.5755891933240991
ZNF683,SYNE2,0.5753729523360872
ZNF143,DTX3L,0.5752405015521399
THAP6,GALNT7,0.5750965679274928
ID2,PRR4,0.575070234729994
HOPX,SYNE2,0.574943045102494
RORB,PLK4,0.5748655314697201
LYAR,STMN1,0.5748384948687137
LEF1,RP11-672L10.6,0.5747773048283212
ID2,ZFHX3,0.5746905340017182
ZNF320,FOS,0.5745908713609216
HIVEP3,STYK1,0.5743547815358647
LYAR,NXPH4,0.5740414184216125
PLEK,MYSM1,0.5739773805090632
JUNB,SPIRE1,0.5737639415932142
ID3,HOPX,0.573347549034306
PPARG,PVRL2,0.5731296009071926
PLEK,YEATS4,0.5731007841444411
ZNF547,PASK,0.573040605528978
JUNB,UBXN4,0.5729979843055459
ZNF684,ATF6,0.5727547884684869
PLEK,STMN1,0.5726086252192114
KLF6,GPD2,0.5723317204712537
HOPX,CTNNBIP1,0.5721591472268601
KLF6,RP11-779O18.3,0.572142995372773
LYAR,PQLC3,0.5721207031757363
JUN,KIF21B,0.5721082210808829
YEATS4,ZMYND10,0.5720412509863348
MYSM1,KHNYN,0.5718310236796771
ID2,RP11-94L15.2,0.5717659513667683
JUNB,MRPS26,0.5717623374945525
ATF6,KAT2B,0.5716153678165475
THAP6,HLA-DQA2,0.5714512812360285
JUNB,ZNF576,0.5713938662955894
DNAJC1,LYAR,0.5713549341040083
LEF1,MRM1,0.5711639286978454
KLF6,ACTB,0.5711143272297872
HOPX,Z83851.3,0.5710134883051785
JUN,CST7,0.5704462459353714
ZSCAN31,TYROBP,0.5702342457011814
DNAJC1,NAP1L3,0.5699829771457274
TP63,PAK4,0.5699694591019907
LYAR,UCN,0.5699145656361233
CASZ1,PIGW,0.5696556148446146
BATF,CD8B,0.5696307858813243
LEF1,CD58,0.5696165479729979
YEATS4,ARL6IP6,0.5694150985206092
ATF6,FICD,0.5693118789912701
ZNF277,EPHB6,0.5691868891770807
AHCTF1,ZSCAN2,0.5689246053644964
LEF1,ESCO2,0.5688955603773788
ZNF142,ALOX5,0.5688781662512821
BBX,NUP155,0.5685400138451384
THAP6,LIG3,0.5684260310797645
ARID5B,CCDC122,0.5681724899791198
AHCTF1,PEBP4,0.5681675612866671
LYAR,ZNF185,0.5677955238049894
ARID5B,APMAP,0.567707327020556
THAP6,PKNOX1,0.5675907422571607
FOS,SMTN,0.5675014288375487
RORB,AC012358.8,0.5673364599672716
ID3,ADPRH,0.5673220511334895
BAZ2A,CITED2,0.5673215843948334
LYAR,ERRFI1,0.5671469808481099
MYSM1,GGA1,0.5671346414706652
HOPX,TCAIM,0.567123146829152
BBX,ZNF470,0.5671053132375643
HOPX,HBEGF,0.5670344261215176
ZNF277,C12orf75,0.5669534866675828
BBX,ZNF660,0.5669112884173674
MLXIP,EVI5,0.5668906875841461
HOXA9,MESDC2,0.5668695115204251
KLF6,YEATS4,0.566758527985352
MAFG,GCK,0.5666075014452511
PLEK,RP11-770J1.5,0.5664680140243675
RUNX3,ZFHX3,0.5659593974985808
HOPX,RP11-227D13.4,0.5658615772825373
ZNF576,ZNF264,0.5658098578629196
ARNT,GYG1,0.5657984586704832
THAP6,RETSAT,0.5655581179129306
ZNF320,IDH1-AS1,0.5654019089289986
ID2,PTGER2,0.5651431111967655
DNAJC1,PTMS,0.5650712077320351
ZNF41,NCR3,0.5650505911228595
FOXN2,SFSWAP,0.5649819614300503
ZNF491,NCS1,0.5649778460704564
ATF6,LRIF1,0.5649620407445887
ID2,CTA-14H9.5,0.5645831273363504
BATF,AC010226.4,0.5643886206895239
CEBPD,Z69666.2,0.5638734442838754
JUNB,MLXIP,0.5637495442068168
MAFG,CTD-3093M3.1,0.5636179198650543
HOPX,LUC7L3,0.5635390514606018
JUNB,KLRD1,0.5635314016515598
JUNB,SMYD2,0.5634211224028766
ZNF491,RP4-622L5.7,0.5632940994313534
KLF6,DENND4C,0.5631853758920219
JUN,TPD52L1,0.5630715582480769
JUN,PAFAH1B2,0.5629048083566003
LYAR,RP11-1100L3.7,0.5627207690582932
BATF,APOBEC3C,0.5626992798827967
ARNT,HIVEP3,0.5625642722445453
JUNB,C1GALT1,0.5624751355073561
ID3,ZNF41,0.5623045629059368
JUNB,ZC3H12A,0.5622515595687574
JUN,ARHGAP10,0.562191797767384
JUN,QSER1,0.5621475637221868
DNAJC1,AC016757.3,0.5621178441272551
ID2,CTD-2015H6.3,0.561762646842528
FOS,NIPAL2,0.5617121957500776
LYAR,LY6G6F,0.5616057445758711
ID2,ARPP19,0.5615028015554058
LYAR,JHDM1D-AS1,0.5612443438929164
GABPA,ARID5B,0.5612189278927043
ZNF683,RP11-423C15.3,0.5610957184734154
ZBTB38,BAIAP2-AS1,0.5609772863627457
ZNF576,RPGR,0.5609616376924779
MAFB,RP11-803D5.4,0.5608266371832075
CEBPD,CST7,0.560779480596914
LEF1,C5orf51,0.5605690715878672
MYSM1,PZP,0.5603835373430861
CEBPD,APOBEC3G,0.5602787823674886
RUNX3,C19orf44,0.5602659311050427
RORB,TTC27,0.5601097053987533
JUN,FAM181B,0.5600922836722343
BATF,HLA-DQA1,0.5600261092458743
JUNB,TCHP,0.5599932606037356
JUN,TTC32,0.559842113805771
LYAR,CCDC110,0.5598314522838935
ARID5B,C19orf44,0.5596532304792667
ZNF320,EBLN2,0.5594966140976578
DNAJC1,AP001372.2,0.5592856718434137
ID2,EIF2AK1,0.5592203371743798
FOS,LACE1,0.5591741219800055
KLF6,FBXO30,0.5591722236302561
HOPX,ZNF843,0.5588667749179085
HOPX,LAG3,0.5584341493618857
LYAR,RP1-197B17.3,0.557900324348277
JUNB,GNG11,0.5576097517264632
ZSCAN29,SAT1,0.5574852491722273
LYAR,TPST2,0.5573310301114146
ZNF710,USP15,0.5572346538263149
FOSB,GALNT7,0.5569674019359433
TBX1,FLNA,0.5565879228950599
MLXIP,RP1-257A7.4,0.556519138257644
BBX,RP11-872J21.3,0.5565096624590309
MAFG,THAP6,0.5560022188138468
MYBL1,TMEM155,0.5559501975585546
ZNF491,GP9,0.5558659970517799
