AURKC,NR4A1,9.089724025336853
AURKC,THAP6,9.077737813763088
C1orf109,MAFG,8.560770319747503
ARID5B,PZP,8.559522376595673
ARNT,LINC00936,8.54532764238044
HOXA10,TRPC4AP,8.413465052721849
PTTG1,ZFHX2,8.33960691250349
RP11-1399P15.1,ZBTB34,8.328958345906331
PTPRN,PURA,8.284813287564623
TMEM107,ZNF710,8.217473172123013
MTA1,RP11-567J20.3,8.214196083258692
PQLC3,ZNF41,8.153863713224318
JADE3,ZNF576,8.08196464068929
SPIRE1,YEATS4,8.037819644739905
BATF,KCNK5,8.03695479482898
FOXK1,PTPRN,8.025942913676468
C7orf49,HOXA9,7.98390904079014
KNOP1,MIXL1,7.968032571838036
CTD-2588C8.8,ID3,7.879264922261647
RP11-762I7.5,RUNX3,7.871941478129577
HIVEP3,TNS4,7.869033176204861
ACTB,ACTG1,7.810233403474693
PZP,RP11-54O7.1,7.747594274413081
CALCRL,ZNF143,7.715524812966722
CENPA,PIGU,7.678661975636712
AC022532.1,BAZ2A,7.677241116933124
RP11-357H14.17,ZNF80,7.672981284580324
ARID5B,RP11-54O7.1,7.647828412538454
ECHDC1,ZNF576,7.6184136144985395
FOXN2,RP11-247L20.4,7.603290471393111
AC110771.1,ARID2,7.567320769842115
RP5-1028K7.2,ZNF470,7.550275656873294
FZD2,MYBL1,7.539728140896296
PARS2,ZNF80,7.529192465652257
ATF6,TNS4,7.527938849759532
MARCKS,ZNF277,7.521581114598419
KHNYN,ZFHX3,7.51431658609601
RBP7,YEATS4,7.497192989598105
ANKRD50,ZBTB38,7.481777930258619
DACH1,TNFRSF18,7.479454735042087
KIAA0368,ZFHX3,7.473048261512218
ZNF41,ZNF684,7.442605831371163
ASCC1,ZNF155,7.439273106293927
DACH1,XCL1,7.420911346311858
MPST,ZNF142,7.412352328975585
LY86-AS1,ZBTB38,7.410465451127167
HIST1H1C,ZNF143,7.4040120984244755
QSER1,ZNF80,7.403573401131834
HIVEP3,SYTL3,7.389331347523134
MYSM1,RP11-316M1.3,7.372089652218393
AC007036.6,FOXN2,7.367446362047913
GPR125,YEATS4,7.353360299943314
PKNOX1,TNS4,7.352855167255473
AC007036.6,RP11-247L20.4,7.342113639450353
TCHP,ZNF547,7.337170830575857
SCUBE1,ZNF143,7.308318674090504
FOXN2,RP11-803D5.4,7.300550726376088
EPAS1,LPIN2,7.266524703691369
CTD-2260A17.1,MLXIP,7.263718437506867
MLXIP,TNS4,7.256518501011083
FOSB,GPR125,7.239459337635797
HLA-DQB1,TCL1A,7.224126050403819
PZP,RP11-482D24.3,7.210826264220373
BAZ2A,TPPP,7.206565042023113
E2F5,IGJ,7.204715613434019
PTPRN,RP11-247L20.4,7.194997413470125
MVB12B,ZBTB34,7.18168534656934
HIVEP3,RP5-1142A6.2,7.133163324756898
DLG3,IRF6,7.117960031664854
CYP1B1-AS1,ID3,7.109663732126562
ITGAD,MYBL1,7.109009945755089
METTL4,PURA,7.085795248453032
ARID5B,RP11-482D24.3,7.084896472626729
DNAJC1,HIF1A-AS2,7.077169958431619
BCL2L11,SOX13,7.076034507535829
AC002306.1,FOSB,7.074563764588399
DNAJC1,GPR125,7.065781292650184
IRF6,S100A8,7.023885114410696
UNK,WDHD1,7.007269996774898
GDPGP1,HIVEP3,7.006704829196909
MTRNR2L8,PKNOX1,7.002387776585951
CENPA,PLEKHA3,6.958890175944546
EXOC6B,ZNF234,6.94286602741481
ENHO,ZNF576,6.9252438643730345
MTTP,SNAI3,6.917417183623629
ATP2B1,ZNF320,6.916743103332058
FOSB,RP11-211G3.2,6.913380400486281
AC104655.3,ARNT,6.9071625217790364
HLA-DQA1,HLA-DQA2,6.903842471475145
GOLIM4,ZNF234,6.900930566993829
ATF6,BAALC,6.878027362816303
NAP1L5,ZNF277,6.869063863586447
PRKAR2A,SIM1,6.867166322286979
VPS41,ZNF805,6.862205232793169
PKNOX1,SERP2,6.84471318301082
TCL1A,ZNF576,6.843436909854773
AC007036.6,PTPRN,6.837251686362025
C1orf234,CEBPD,6.830590687219057
ARNT,SLC25A26,6.829346680794271
CD8A,CD8B,6.827545341404135
SLC17A9,SOX13,6.818101516096536
FOSB,IRAK3,6.796402085253138
TSNARE1,ZNF320,6.783250005813521
TATDN2,ZBTB34,6.782350376296102
CASC15,RUNX3,6.760694093617032
THAP6,TSTD3,6.75766958372847
PDCD7,SOX13,6.75429110525793
IGJ,ZNF320,6.750822322238042
SOCS4,ZSCAN31,6.741891512497728
DACH1,RP11-872J21.3,6.741428314151966
ACSM1,ZNF320,6.741260285157094
CASZ1,TBX6,6.72175028200595
BOD1L1,FOSB,6.710907642414612
IFNGR1,ZNF660,6.706375024350452
ACTB,KCNK5,6.702628015369019
INPP4B,ZNF155,6.696768563036175
ACTB,BATF,6.690247093424091
KIF21B,ZBTB34,6.685687693369119
SNX24,ZSCAN31,6.676474448547992
BBX,KIF20A,6.674824312462862
RP11-400L8.2,ZNF143,6.673330080024882
MESDC2,METTL4,6.659044104850119
NR4A1,TMEM52,6.647770683018232
TAF13,ZNF773,6.645081613633957
CASZ1,NAP1L5,6.6393487992610245
PPBP,ZSCAN2,6.637908214073831
FOXN2,LINC00869,6.627931805367023
ENHO,MYSM1,6.616442128524512
KLKB1,ZBTB38,6.606604363513893
STAG1,ZNF80,6.6014299539140975
NRGN,ZNF710,6.599692540381669
